time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
48.66,5.52836,-0.0208937,0.00487409,228.008,0.00423362,-0.0431136,-0.00175599,0.0420452,0.0123836,-2333.66,-4272.23
52.33,5.58058,-0.0227061,0.0058382,230.623,0.00509729,-0.0454021,-0.0251643,0.0425497,0.00454074,-2088.26,-4130.5
28.11,13.8925,-0.00475784,0.0106485,108.847,-0.00466074,0.00976873,2.47246,-0.00650931,0.890417,-4668.02,2885.91
19.01,8.34536,5.8275e-05,-0.00783006,1.68083,0.00166884,-0.000284467,0.713641,-0.00269321,0.225582,1373.7,3871.11
59.87,5.53858,-0.000407138,-0.00656788,139.971,-0.00150407,0.0223611,0.979498,-0.0249289,0.306533,2835.59,4417.66
48.65,13.8888,-9.71776e-05,0.000397972,0.602517,-0.000733107,-0.000155981,0.355936,-0.000356215,0.110624,-902.749,2462.01
64.82,5.54476,-0.000463462,0.00572172,0.637788,-0.00112508,0.000154316,0.0663293,0.0016189,0.0213965,1599.82,1249.36
2.06,12.1313,-0.00190006,-0.000604135,0.0474342,0.000160387,2.54041e-05,0.146863,0.000305495,0.0455897,276.229,1209.91
48.42,13.8902,-0.00171262,0.0080288,0.750132,-0.00178196,-3.35216e-05,0.119962,-0.00090194,0.0372394,1936.98,791.559
22.75,13.8923,-0.00557133,0.00669668,1.72092,-0.00392165,0.000580536,0.16804,-0.00561994,0.0519691,578.121,2797.11
24.19,8.33861,0.000176759,-0.00039337,10.3121,-0.000158968,-0.000943044,0.148043,0.00121198,0.0466533,5567.71,-2163.52
28.14,5.54008,-0.000664273,-0.00137211,0.14725,-5.11389e-05,-4.87468e-05,0.148839,-0.00167494,0.0461451,676.259,790.147
51.32,5.5446,-0.0223935,-0.00248327,179.925,0.00460515,-0.0423804,-0.0224875,0.041742,0.00513205,-1979.09,-3104.27
9.39,8.31983,-0.000209672,-0.00332425,0.413961,-0.000337426,-0.000352768,0.145912,-0.000631074,0.0452635,1139.47,-402.479
28.54,8.32422,0.000187531,-0.0048931,15.8156,0.000472245,0.000359802,0.674665,0.0022851,0.211412,-6364.79,5622.78
57.89,5.53877,0.00250577,-0.025141,3.85182,0.00342789,0.000555931,0.155844,0.00142354,0.0484753,-2855.99,2702.19
35.76,8.3314,-0.0010328,0.00619114,2.28037,-0.000961281,-0.000134057,0.113525,-0.00211744,0.0356155,3051.73,276.49
